AA UN Equity,,,,,,AXP UN Equity,,,,,,BA UN Equity,,,,,,BAC UN Equity,,,,,,CAT UN Equity,,,,,,CSCO UW Equity,,,,,,CVX UN Equity,,,,,,DD UN Equity,,,,,,DIS UN Equity,,,,,,GE UN Equity,,,,,,HD UN Equity,,,,,,HPQ UN Equity,,,,,,IBM UN Equity,,,,,,INTC UW Equity,,,,,,JNJ UN Equity,,,,,,JPM UN Equity,,,,,,KO UN Equity,,,,,,MCD UN Equity,,,,,,MMM UN Equity,,,,,,MRK UN Equity,,,,,,MSFT UW Equity,,,,,,PFE UN Equity,,,,,,PG UN Equity,,,,,,T UN Equity,,,,,,TRV UN Equity,,,,,,UNH UN Equity,,,,,,UTX UN Equity,,,,,,VZ UN Equity,,,,,,WMT UN Equity,,,,,,XOM UN Equity,,,,,,DIA US Equity,,,,
BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,,,BarTp=T,,,,
Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,Date,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
#NAME?,8.8402,36,394442,3506453.75,,#NAME?,58.41,35,95022,5551287,,#NAME?,76.1111,23,74802,5725994,,#NAME?,12.0791,210,6799873,82083472,,#NAME?,93.8,169,403073,37637948,,#NAME?,20.19,403,679059,13669256,,#NAME?,108.9121,86,134044,14759187,,#NAME?,45.4886,22,159263,7316552.5,,#NAME?,50.9,75,194064,9867125,,#NAME?,21.3156,95,1426314,30707138,,#NAME?,63.0235,71,378168,23984230,,#NAME?,14.697,66,961707,14205937,,#NAME?,193.7644,73,121805,23668960,,#NAME?,21.0339,467,893601,18909704,,#NAME?,69.9604,96,266107,18868652,,#NAME?,44.77,128,547456,24627886,,#NAME?,36.5554,85,382956,14104585,,#NAME?,88.9028,73,175765,15751274,,#NAME?,93.5821,33,99030,9318748,,#NAME?,41.1533,103,351852,14691475,,#NAME?,27.0957,436,885194,24134364,,#NAME?,25.2097,62,536999,13687256,,#NAME?,67.9888,78,235947,16193764,,#NAME?,33.8046,139,745903,25650940,,#NAME?,72.5281,29,38244,2789296.25,,#NAME?,54.5079,59,80705,4428295,,#NAME?,83.1029,54,91450,7636594,,#NAME?,43.661,116,475566,21154010,,#NAME?,68.518,56,177590,12244467,,#NAME?,86.8949,194,340646,29830638,,#NAME?,132.2629,921,331551,44110012
1/2/2013 8:31,8.8602,15,6201,55097.8906,,1/2/2013 8:32,58.42,15,4600,268802,,1/2/2013 8:34,76.121,14,3387,259424.2031,,1/2/2013 8:31,12.1291,187,337650,4094899,,1/2/2013 8:32,94.05,86,24299,2283366.5,,1/2/2013 8:31,20.15,195,44902,905900.75,,1/2/2013 8:31,108.8228,34,4637,508780.9063,,1/2/2013 8:31,45.5382,37,7387,339021.0313,,1/2/2013 8:31,51.09,67,18595,948489.5625,,1/2/2013 8:31,21.2561,79,53485,1148836.875,,1/2/2013 8:32,62.9638,36,5799,367592.5625,,1/2/2013 8:32,14.8958,163,192582,2863114.5,,1/2/2013 8:34,193.8441,22,3200,622875,,1/2/2013 8:31,21.0537,76,19400,412554,,1/2/2013 8:31,69.8711,46,8134,573056.3125,,1/2/2013 8:31,44.83,100,18993,852172.875,,1/2/2013 8:32,36.5057,31,38719,1424423.875,,1/2/2013 8:31,88.9822,80,9403,842969.1875,,1/2/2013 8:35,93.602,47,5500,517865,,1/2/2013 8:31,41.0939,135,39599,1643246.125,,1/2/2013 8:31,27.061,143,49805,1359995.5,,1/2/2013 8:31,25.2196,35,34205,869209,,1/2/2013 8:31,67.9094,64,13651,934285.25,,1/2/2013 8:31,33.933,69,27059,928819.75,,1/2/2013 8:31,72.3392,20,4607,335511.375,,1/2/2013 8:31,54.478,35,4159,227692.7031,,1/2/2013 8:32,82.9538,57,10316,861591.75,,1/2/2013 8:31,43.7895,55,17504,774254.125,,1/2/2013 8:31,68.3391,123,15542,1071031.625,,1/2/2013 8:32,86.7557,110,20611,1800494.375,,1/2/2013 8:31,132.3524,393,106820,14214315
1/2/2013 8:32,8.8502,9,9000,79918,,1/2/2013 8:33,58.44,32,5600,327224,,1/2/2013 8:35,76.1707,22,3153,241637.9844,,1/2/2013 8:32,12.1091,83,218711,2650536.75,,1/2/2013 8:33,94.24,117,38774,3649460.25,,1/2/2013 8:32,20.14,107,26643,536481.125,,1/2/2013 8:32,108.4953,72,11135,1218998.75,,1/2/2013 8:32,45.5481,23,5106,234725.7188,,1/2/2013 8:32,51.18,32,8359,427637.7813,,1/2/2013 8:32,21.2164,37,16100,344760.4063,,1/2/2013 8:33,62.8544,55,12377,782755.375,,1/2/2013 8:33,15.0945,206,157615,2377651.75,,1/2/2013 8:35,193.9138,24,7224,1406854.375,,1/2/2013 8:32,21.0537,205,89969,1915828.25,,1/2/2013 8:32,69.881,63,12580,885947.5625,,1/2/2013 8:32,44.8,58,20171,904252.75,,1/2/2013 8:33,36.466,39,19850,728963,,1/2/2013 8:32,88.9227,29,4856,435329.375,,1/2/2013 8:36,93.6318,33,5255,494825.5,,1/2/2013 8:32,41.084,61,17302,717201.8125,,1/2/2013 8:32,27.0163,130,62614,1706232.5,,1/2/2013 8:32,25.2196,24,10773,274070.7813,,1/2/2013 8:32,67.9888,28,6090,417113.5938,,1/2/2013 8:32,33.9132,26,10190,350168.2188,,1/2/2013 8:32,72.3988,12,3195,232637,,1/2/2013 8:32,54.2489,41,8168,445203.0625,,1/2/2013 8:33,82.9638,5,1200,100138,,1/2/2013 8:32,43.6511,11,1400,61885,,1/2/2013 8:32,68.2596,23,4470,307254,,1/2/2013 8:33,86.8352,74,20952,1829264,,1/2/2013 8:32,132.2927,294,69203,9208805
1/2/2013 8:33,8.8502,10,3500,31048.8008,,1/2/2013 8:34,58.53,17,13184,771205,,1/2/2013 8:36,76.1807,20,2520,193197.7969,,1/2/2013 8:33,12.0592,127,234997,2837628.5,,1/2/2013 8:34,94.24,86,13964,1316360.625,,1/2/2013 8:33,20.11,151,45964,924994.4375,,1/2/2013 8:33,108.4358,36,4819,526560.5625,,1/2/2013 8:33,45.5778,19,17526,806130,,1/2/2013 8:33,51.19,18,4400,225270,,1/2/2013 8:33,21.2402,35,34904,746887.5,,1/2/2013 8:34,62.8345,30,7068,446545.5938,,1/2/2013 8:34,15.2138,332,224547,3438196.75,,1/2/2013 8:36,194.093,72,15730,3066266,,1/2/2013 8:33,21.0141,256,75356,1600858.875,,1/2/2013 8:33,69.9306,34,19289,1357437.375,,1/2/2013 8:33,44.81,137,34888,1557541.125,,1/2/2013 8:34,36.4164,33,19367,711280.875,,1/2/2013 8:33,88.8334,23,3844,344341.2813,,1/2/2013 8:37,93.6318,43,6200,584103,,1/2/2013 8:33,41.0741,38,6920,287171.4063,,1/2/2013 8:33,27.0163,161,84906,2313121.75,,1/2/2013 8:33,25.1799,25,13800,350842,,1/2/2013 8:33,67.9491,20,4445,304487.6875,,1/2/2013 8:33,33.9034,44,18119,622165.4375,,1/2/2013 8:33,72.2596,16,3784,275155.2813,,1/2/2013 8:33,54.4083,27,4810,262514.6875,,1/2/2013 8:34,82.9737,5,800,66784,,1/2/2013 8:33,43.6412,50,18071,797657,,1/2/2013 8:33,68.2099,33,8400,576287,,1/2/2013 8:34,86.7856,48,10886,951189.25,,1/2/2013 8:33,132.3126,383,82664,10997039
1/2/2013 8:34,8.8502,16,3655,32462.4004,,1/2/2013 8:35,58.57,20,6100,357254,,1/2/2013 8:37,76.2701,12,1600,122754.3984,,1/2/2013 8:34,12.0991,114,199412,2411241.75,,1/2/2013 8:35,94.26,99,15032,1416523.5,,1/2/2013 8:34,20.13,97,29837,600304.3125,,1/2/2013 8:34,108.4655,35,5700,622634,,1/2/2013 8:34,45.6274,50,6900,317487,,1/2/2013 8:34,51.17,24,3000,153477,,1/2/2013 8:34,21.2362,47,40488,866728.3125,,1/2/2013 8:35,62.7947,26,4100,258850.625,,1/2/2013 8:35,15.2138,220,89378,1364319.625,,1/2/2013 8:37,194.0831,19,3347,652291.25,,1/2/2013 8:34,21.0141,124,31684,672458.6875,,1/2/2013 8:34,69.8215,24,8002,563914.75,,1/2/2013 8:34,44.88,39,11722,525893.1875,,1/2/2013 8:35,36.4958,73,28499,1047061.188,,1/2/2013 8:34,88.7739,15,2653,237492.0938,,1/2/2013 8:38,93.5821,18,2890,272226,,1/2/2013 8:34,40.9552,46,10700,443087,,1/2/2013 8:34,27.0362,183,82601,2250248.5,,1/2/2013 8:34,25.1204,28,25384,644162.625,,1/2/2013 8:34,67.9392,35,6810,466472,,1/2/2013 8:34,33.8639,46,26108,896038.625,,1/2/2013 8:34,72.2895,9,2084,151499.6406,,1/2/2013 8:34,54.2888,7,1303,71027.6797,,1/2/2013 8:35,83.0334,35,5729,478505.375,,1/2/2013 8:34,43.6116,27,10800,476441.0625,,1/2/2013 8:34,68.1503,22,4860,333454.4063,,1/2/2013 8:35,86.9346,55,12018,1050260,,1/2/2013 8:34,132.2927,516,138066,18371050
1/2/2013 8:35,8.8582,18,4496,39954.6094,,1/2/2013 8:36,58.69,23,5200,304927,,1/2/2013 8:38,76.1807,12,1700,130403,,1/2/2013 8:35,12.0691,190,149760,1808724.75,,1/2/2013 8:36,93.98,126,20755,1951925,,1/2/2013 8:35,20.15,412,124619,2510569.75,,1/2/2013 8:35,108.4457,30,6195,676741.6875,,1/2/2013 8:35,45.5877,70,8490,390507.3438,,1/2/2013 8:35,51.2,63,10503,537635.4375,,1/2/2013 8:35,21.2759,26,20440,438158.9063,,1/2/2013 8:36,62.6356,18,3255,205111.1563,,1/2/2013 8:36,15.2038,185,91352,1408688.375,,1/2/2013 8:38,194.0831,64,7884,1536230.625,,1/2/2013 8:35,21.0339,226,65627,1394862.25,,1/2/2013 8:35,69.9802,36,6100,429936.0938,,1/2/2013 8:35,44.82,73,19453,873002.75,,1/2/2013 8:36,36.5256,68,37658,1385267.625,,1/2/2013 8:35,88.635,31,6826,610223.875,,1/2/2013 8:39,93.602,14,1916,180446.875,,1/2/2013 8:35,41.0147,54,14273,590756.9375,,1/2/2013 8:35,27.0659,446,216470,5902575,,1/2/2013 8:35,25.1898,43,16141,410081.625,,1/2/2013 8:35,68.0185,39,7158,490498.25,,1/2/2013 8:35,33.9083,41,17780,609935.5,,1/2/2013 8:35,72.3591,11,3872,281716.4063,,1/2/2013 8:35,54.4083,23,6450,352317,,1/2/2013 8:36,83.1029,3,300,25074,,1/2/2013 8:35,43.6412,23,5457,240737.0469,,1/2/2013 8:35,68.2497,36,5799,398425.3125,,1/2/2013 8:36,86.9247,62,17466,1528180.25,,1/2/2013 8:35,132.3822,562,144769,19266420
1/2/2013 8:36,8.8602,9,5800,51506,,1/2/2013 8:37,58.67,12,1800,105628,,1/2/2013 8:39,76.29,11,1207,92638.4609,,1/2/2013 8:36,12.0472,205,260691,3142892,,1/2/2013 8:37,93.94,97,18736,1760954.25,,1/2/2013 8:36,20.14,126,45455,916062.9375,,1/2/2013 8:36,108.3465,49,7500,819500,,1/2/2013 8:36,45.5877,26,4585,210891.5,,1/2/2013 8:36,51.21,51,8726,446827.3125,,1/2/2013 8:36,21.2263,31,27551,590484.3125,,1/2/2013 8:37,62.5063,24,5549,349154.3438,,1/2/2013 8:37,15.2734,96,33034,506223.4375,,1/2/2013 8:39,194.1129,31,9592,1870193.5,,1/2/2013 8:36,21.024,113,31294,665109.3125,,1/2/2013 8:36,69.9009,37,8000,564059,,1/2/2013 8:36,44.88,47,12080,541889.9375,,1/2/2013 8:37,36.5355,40,16560,609334.3125,,1/2/2013 8:36,88.6747,32,5290,472760.7188,,1/2/2013 8:40,93.5721,15,2275,214224.9063,,1/2/2013 8:36,40.9255,33,7337,303547.875,,1/2/2013 8:36,27.0163,302,108441,2956325,,1/2/2013 8:36,25.1601,41,8600,218380,,1/2/2013 8:36,68.0781,34,7430,509767.875,,1/2/2013 8:36,33.8639,52,25822,886465.9375,,1/2/2013 8:36,72.4486,27,6216,452858.4063,,1/2/2013 8:36,54.5279,12,2200,120300.1016,,1/2/2013 8:37,82.9638,7,900,75151,,1/2/2013 8:36,43.5819,35,8652,381552.8125,,1/2/2013 8:36,68.1901,40,7280,500055.4063,,1/2/2013 8:37,86.8849,67,18850,1648814.875,,1/2/2013 8:36,132.3524,420,94353,12562481
1/2/2013 8:37,8.8502,12,2800,24874,,1/2/2013 8:38,58.77,21,4102,240904.3438,,1/2/2013 8:40,76.2303,18,3400,260888.0156,,1/2/2013 8:37,12.0312,90,101508,1223958.75,,1/2/2013 8:38,93.83,113,16072,1508921.625,,1/2/2013 8:37,20.135,87,23491,473155.4688,,1/2/2013 8:37,108.2373,37,5400,589322,,1/2/2013 8:37,45.5877,19,2560,117746,,1/2/2013 8:37,51.19,70,19187,982277.9375,,1/2/2013 8:37,21.1966,64,19042,407143.6875,,1/2/2013 8:38,62.5759,20,3814,239791.7344,,1/2/2013 8:38,15.2535,102,43880,674394.1875,,1/2/2013 8:40,194.2524,19,5590,1090010,,1/2/2013 8:37,20.9845,207,51594,1095244,,1/2/2013 8:37,69.9703,25,4345,306259.4063,,1/2/2013 8:37,44.9,42,24520,1101098.75,,1/2/2013 8:38,36.5554,46,16552,609282.3125,,1/2/2013 8:37,88.754,26,10744,960699.375,,1/2/2013 8:41,93.6218,26,4100,386243,,1/2/2013 8:37,40.8661,41,10130,418394.6875,,1/2/2013 8:37,26.9965,250,104424,2844668,,1/2/2013 8:37,25.1799,39,12519,317956.5938,,1/2/2013 8:37,68.0483,26,5998,411535.875,,1/2/2013 8:37,33.8244,50,30576,1048018.125,,1/2/2013 8:37,72.3292,42,6354,462472.0313,,1/2/2013 8:37,54.5478,8,1200,65707,,1/2/2013 8:38,82.8644,31,4284,357296.4375,,1/2/2013 8:37,43.661,94,25550,1126944,,1/2/2013 8:37,68.1603,20,3001,205940.5938,,1/2/2013 8:38,86.8452,79,16328,1427181.125,,1/2/2013 8:37,132.3325,236,61875,8235331
1/2/2013 8:38,8.8402,5,1900,16855,,1/2/2013 8:39,58.86,16,3598,211626.4063,,1/2/2013 8:41,76.2502,6,1100,84405.2031,,1/2/2013 8:38,12.0552,51,58182,701504.6875,,1/2/2013 8:39,93.74,78,14439,1353631.25,,1/2/2013 8:38,20.13,154,36741,739848.3125,,1/2/2013 8:38,108.2175,13,1643,179260.4531,,1/2/2013 8:38,45.558,45,6388,293829,,1/2/2013 8:38,51.181,43,7760,397277.7188,,1/2/2013 8:38,21.1767,34,12793,273136.8125,,1/2/2013 8:39,62.6456,24,9009,567374.5625,,1/2/2013 8:39,15.2138,117,45394,693910.5625,,1/2/2013 8:41,194.3121,43,18009,3512043,,1/2/2013 8:38,20.9845,157,51024,1083452.625,,1/2/2013 8:38,69.8909,24,4400,310268,,1/2/2013 8:38,44.95,78,24336,1093440.875,,1/2/2013 8:39,36.5554,21,12566,462664.6563,,1/2/2013 8:38,88.7639,20,3284,293861.25,,1/2/2013 8:42,93.602,10,1800,169531,,1/2/2013 8:38,40.8859,16,2231,92054.125,,1/2/2013 8:38,27.0461,488,177594,4841004.5,,1/2/2013 8:38,25.1799,23,9005,228782.25,,1/2/2013 8:38,68.0979,28,7000,480409.8125,,1/2/2013 8:38,33.8342,46,17872,612406.9375,,1/2/2013 8:38,72.369,16,4732,343997.3125,,1/2/2013 8:38,54.498,23,6274,343580.875,,1/2/2013 8:39,82.8544,51,6621,552076.5625,,1/2/2013 8:38,43.6116,47,14035,619765.625,,1/2/2013 8:38,68.1801,31,5255,360465.1563,,1/2/2013 8:39,86.9048,51,9808,857605.25,,1/2/2013 8:38,132.3076,217,44297,5894547.5
1/2/2013 8:39,8.8402,8,3800,33683.3984,,1/2/2013 8:40,58.77,27,4485,263842.0625,,1/2/2013 8:42,76.2502,5,800,61396,,1/2/2013 8:39,12.0691,86,58629,707537,,1/2/2013 8:40,93.691,104,23642,2216784.5,,1/2/2013 8:39,20.13,135,45747,920471.9375,,1/2/2013 8:39,108.1778,23,4015,437834.9063,,1/2/2013 8:39,45.5877,9,2600,119602,,1/2/2013 8:39,51.19,34,17201,880630.375,,1/2/2013 8:39,21.1678,12,7601,162254.9531,,1/2/2013 8:40,62.5461,23,5345,336445.6563,,1/2/2013 8:40,15.1939,122,35330,542402.3125,,1/2/2013 8:42,194.3221,18,3900,761313,,1/2/2013 8:39,20.9251,215,55519,1176092.125,,1/2/2013 8:39,69.9405,6,700,49352,,1/2/2013 8:39,44.94,116,34070,1531227.75,,1/2/2013 8:40,36.5455,26,16143,594326.8125,,1/2/2013 8:39,88.9227,71,10692,957792.8125,,1/2/2013 8:43,93.5324,28,5004,471131.4688,,1/2/2013 8:39,40.8859,13,4053,167278.8438,,1/2/2013 8:39,27.0362,231,83681,2281905,,1/2/2013 8:39,25.1998,9,4825,122634.2969,,1/2/2013 8:39,68.1177,28,6013,412850.6875,,1/2/2013 8:39,33.854,16,8579,294048.9688,,1/2/2013 8:39,72.3988,3,300,21847,,1/2/2013 8:39,54.6175,14,1900,104067,,1/2/2013 8:40,82.8942,36,5642,470231.4375,,1/2/2013 8:39,43.6709,42,9904,437308.5,,1/2/2013 8:39,68.2099,11,2443,167601.875,,1/2/2013 8:40,86.8352,49,11557,1010033.875,,1/2/2013 8:39,132.3723,160,41732,5554405.5
